scenicness,connectivity,objects,description,id,latitude,longitude,image_path,greenery_pct,building_pct,sky_pct,road_pct,water_pct
7,4,"['car', 'tree', 'sidewalk', 'house', 'bushes', 'grass', 'road']",A tree-lined residential street with a parked car and abundant greenery.,2594,38.94657569794996,-77.06902233352857,DC_images/dc_2594.jpg,58.013427734375,2.361328125,0.708740234375,27.727294921875,0.0
4,6,"['sidewalk', 'grass', 'small trees', 'multi-story brick buildings', 'multi-story blue building', 'fence', 'clouds', 'power lines', 'driveway']","A suburban street view showing apartment buildings, a grass lawn with small trees, and a sidewalk under a partly cloudy sky.",9069,38.90514113286995,-76.93755135688178,DC_images/dc_9069.jpg,18.859375,22.22265625,29.863037109375,19.96875,0.0
2,7,"['brick house', 'windows', 'door', 'railing', 'awnings', 'fence', 'satellite dish', 'trash bin', 'sidewalk', 'utility pole', 'air conditioning unit', 'tree', 'recycling bin']",A brick residential building with a fenced yard sits alongside an alleyway under a clear blue sky.,6022,38.96100930257611,-76.9998079395289,DC_images/dc_6022.jpg,1.989990234375,40.45166015625,21.05322265625,7.407958984375,0.0
6,7,"['trees', 'cars', 'houses', 'sidewalk', 'street signs', 'road', 'fences', 'lawns']","A quiet, tree-lined residential street with parked cars and houses on both sides.",9744,38.88891787068224,-76.92373387043281,DC_images/dc_9744.jpg,43.191650390625,10.0693359375,4.18701171875,26.889160156250004,0.0
3,9,"['people', 'stadium seats', 'large LED screen with stars and stripes', 'arena lights', 'hoodie', 'sports jersey']",A group of people sitting and standing in a brightly-lit arena with a large LED screen in the background.,4961,38.89794932903293,-77.02055826007982,DC_images/dc_4961.jpg,0.0,0.0,0.0,0.0,9.374755859375
4,7,"['paintings', 'sofa', 'chairs', 'tables', 'sculptures', 'computer monitor', 'desk', 'overhead lights', 'cabinet', 'magazines or brochures', 'glass doors']","A cozy, well-lit interior space with artwork on the walls, modern furniture, and several computer workstations.",4324,38.98262399947019,-77.03443256525865,DC_images/dc_4324.jpg,0.0,0.0,0.0,0.0,0.300537109375
4,1,"['tree', 'chain-link fence', 'bushes', 'vines', 'sky']",A dense patch of greenery and overgrown vegetation behind a chain-link fence on a sunny day.,4420,38.95019497574033,-77.03210963860789,DC_images/dc_4420.jpg,84.955322265625,0.0,5.091552734375,0.0,0.0
5,8,"['traffic lights', 'street signs', 'crosswalk', 'car', 'person', 'brick building', 'sidewalk', 'trees', 'leaves', 'road', 'curb', 'mailbox', 'playground equipment']","A suburban street corner with a crosswalk, traffic lights, and a large brick building surrounded by autumn trees.",3151,38.92316036327309,-77.05746772997624,DC_images/dc_3151.jpg,22.865478515625,14.96044921875,23.949951171875,24.8623046875,0.0
6,8,"['bridge', 'railing', 'street lamps', 'water/river', 'trees', 'white tents/structures', 'sky/clouds']","A view from a bridge over a river with street lamps, distant trees, and white tent-like structures under a cloudy sky.",7115,38.876328716060726,-76.97675942986687,DC_images/dc_7115.jpg,5.09033203125,0.003173828125,47.8984375,31.336669921875,3.706298828125
2,3,"['asphalt road', 'empty parking lot', 'light poles', 'puddle', 'trees', 'clear sky']","A vast, empty parking lot under a clear blue sky with distant trees and a few light poles.",7465,38.890740549952575,-76.96983871688523,DC_images/dc_7465.jpg,2.88330078125,0.0,47.717041015625,48.38427734375,0.969482421875
6,8,"['traffic lights', 'street sign', 'trees', 'cars', 'sidewalk', 'crosswalk', 'residential buildings', 'fence', 'for sale sign', 'streetlamp']","A leafy neighborhood intersection with traffic lights, parked cars, and well-kept residential homes.",4286,38.91416110191008,-77.03439951199574,DC_images/dc_4286.jpg,38.780029296875,10.28271484375,4.941162109375,33.072998046875,0.0
6,7,"['cars', 'trees', 'sidewalk', 'street signs', 'power pole', 'shrubs', 'buildings']","A leafy suburban street with several cars, lush greenery, and a clear sidewalk.",1909,38.94476504942064,-77.08286310337756,DC_images/dc_1909.jpg,51.5908203125,0.570556640625,6.779052734375,37.44921875,0.0
3,5,"['car', 'chain link fence', 'overgrown grass', 'red wooden gate', 'two trash bins', 'brick houses', 'tree', 'pavement', 'wooden fence', 'cloudy sky', 'power lines']",A car is parked next to a chain link fence and overgrown grass behind brick row houses on a partly cloudy day.,5652,38.91056263655154,-77.00672601543211,DC_images/dc_5652.jpg,29.8701171875,9.1943359375,34.072021484375,2.79833984375,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",A blank image with a message indicating that no map imagery is available.,5777,38.93038106110792,-77.00442126392622,DC_images/dc_5777.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
6,7,"['tree', 'grass', 'sidewalk', 'black SUV', 'white car', 'parking lot']",A parked black SUV is in front of a green park area with trees and a sidewalk on a sunny day.,5643,38.89434759856011,-77.0067244866658,DC_images/dc_5643.jpg,53.0859375,0.0,9.28173828125,7.204589843750001,0.0
4,6,"['cars', 'houses', 'trees', 'power lines', 'sidewalk', 'street', 'bushes', 'flowers']","A quiet suburban street lined with parked cars, houses, and greenery under a cloudy sky.",6246,38.95380259486885,-76.99519320121244,DC_images/dc_6246.jpg,18.284912109375,6.66796875,29.389404296875,32.38623046875,0.0
7,6,"['trees', 'cars', 'sidewalks', 'power lines', 'street', 'houses', 'shrubs', 'grass']",A leafy residential street lined with parked cars and shaded by tall trees on both sides.,2241,38.92675315893392,-77.07592265917306,DC_images/dc_2241.jpg,47.23779296875,0.7470703125,11.400634765625,32.5302734375,0.0
5,7,"['houses', 'cars', 'sidewalk', 'road', 'trees', 'power lines', 'telephone pole', 'trash bin', 'satellite dish', 'steps', 'brick walls']",A quiet residential street with parked cars and rows of brick houses on a sunny day.,6911,38.91956967698724,-76.98135788090318,DC_images/dc_6911.jpg,14.8779296875,11.41748046875,29.739013671875,37.225341796875,0.0
7,8,"['cars', 'trees', 'sidewalks', 'houses', 'shrubs', 'lawns', 'street']","A leafy residential street lined with parked cars and brick houses, shaded by tall trees.",2124,38.9213466484351,-77.07822323273601,DC_images/dc_2124.jpg,38.85302734375,7.783935546875,8.897705078125,28.08154296875,0.0
0,0,"[""Text: 'Sorry, we have no imagery here.'""]",The image is a blank space with a message stating that there is no imagery available.,1441,38.9231382297301,-77.09206352403976,DC_images/dc_1441.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",This image is mostly blank with a message indicating a lack of available imagery.,7931,38.90875452090239,-76.96060741247396,DC_images/dc_7931.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
4,7,"['cars', 'trees', 'houses', 'power pole', 'power lines', 'street sign', 'grass', 'sidewalk']","A quiet residential street with parked cars, power lines, and houses surrounded by greenery.",5683,38.96641405904782,-77.00673128650755,DC_images/dc_5683.jpg,31.52587890625,6.6328125,20.36181640625,22.2109375,0.0
5,7,"['road', 'sidewalk', 'trees', 'street lights', 'buildings (distant)']","A road bordered by a barrier runs alongside dense green trees under a clear blue sky, with some distant buildings visible.",4381,38.87992998045753,-77.03207801925385,DC_images/dc_4381.jpg,24.680908203125,0.48095703125,31.806396484375,28.857421875,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",The image is a blank white screen with text indicating that no imagery is available.,765,38.93753979211576,-77.10592324385418,DC_images/dc_765.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
6,7,"['cars', 'trees', 'grass', 'clouds', 'building', 'street sign', 'road']",A quiet tree-lined street with parked cars on both sides and a partly cloudy sky.,2140,38.950173194384526,-77.07825486544665,DC_images/dc_2140.jpg,28.293212890625004,1.56396484375,24.1767578125,35.96142578125,0.0
0,0,"['text: Sorry, we have no imagery here.']",The image is a blank screen with a message stating that no imagery is available.,4581,38.82948395872681,-77.02744863353384,DC_images/dc_4581.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
3,7,"['apartment buildings', 'road', 'sidewalk', 'grass', 'shrubs', 'tree', 'power lines', 'street sign', 'clouds']","A suburban street with brick buildings, sidewalks, and a large blurred section in the center.",6020,38.95740599932692,-76.99980794923832,DC_images/dc_6020.jpg,13.162841796875,9.633544921875,38.2509765625,36.4150390625,0.0
7,6,"['cars', 'RVs', 'trees', 'sidewalk', 'street', 'power lines', 'grass', 'houses', 'curb']","A quiet suburban street lined with parked cars, RVs, and lush green trees on a sunny day.",3165,38.94838359524752,-77.0574880639316,DC_images/dc_3165.jpg,32.673095703125,0.0,21.3544921875,38.786376953125,0.0
2,2,"['brick building', 'windows', 'bush', 'fence', 'air conditioning units', 'plants']","A view of a brick building wall with several windows, a small bush and other plants, air conditioning units, and a black metal fence in front.",4059,38.91596131967472,-77.03901268983309,DC_images/dc_4059.jpg,13.525390625,76.22509765625,0.0,0.0,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",The image contains a blank screen with a message stating that no imagery is available.,5047,38.84750266655902,-77.01823978929811,DC_images/dc_5047.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
7,6,"['brick house', 'sidewalk', 'tree', 'bushes', 'fallen leaves', 'street', 'steps', 'shadow', 'wire', 'another house', 'autumn foliage']",A brick house is surrounded by autumnal trees and foliage on a leafy residential street.,3177,38.97000341038989,-77.05750550449264,DC_images/dc_3177.jpg,48.806640625,5.219482421875,16.818359375,18.046875,0.0
5,7,"['brick apartment building', 'car', 'sidewalk', 'tree', 'grass', 'stairs', 'fence']",A brick apartment building sits along a tree-lined residential street with a white car parked in front.,4997,38.962809142834544,-77.020576968907,DC_images/dc_4997.jpg,35.78271484375,22.134033203125,7.109863281250001,7.635009765625,0.0
2,4,"['garage door', 'metal fence', 'concrete driveway', 'trees', 'white house', 'red house', 'brown house', 'outdoor furniture', 'debris', 'stairs', 'railing']","A narrow urban alleyway with a closed garage, metal fencing, and the back entrances of three houses, surrounded by trees.",4969,38.91236268880272,-77.02056241465633,DC_images/dc_4969.jpg,20.919921875,13.518310546875,12.9140625,18.161865234375,0.0
7,6,"['basketball hoop', 'cars', 'vans', 'trees', 'houses', 'street', 'shrubs', 'lamp post', 'sidewalk']","A quiet, tree-lined residential street with parked cars, a basketball hoop, and brick houses.",2350,38.9177463156301,-77.07360685754105,DC_images/dc_2350.jpg,42.13232421875,7.248535156249999,9.857421875,33.81005859375,0.0
0,0,"['text (Sorry, we have no imagery here)']",The image shows a blank screen with a message stating there is no available imagery.,4492,38.87452555440068,-77.02977077422453,DC_images/dc_4492.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
6,7,"['tree', 'sidewalk', 'grass', 'bushes', 'brick building', 'car', 'sign', 'windows', 'fence', 'road']","A leafy street scene featuring a large tree, a brick building, a well-kept sidewalk, and neatly landscaped grounds.",4191,38.948391962274,-77.03672323426163,DC_images/dc_4191.jpg,52.82055664062501,10.279296875,7.814208984375,19.08642578125,0.0
4,5,"['concrete alleyway', 'fence', 'grass', 'trees', 'houses', 'power lines', 'outdoor patio with drapes', 'sidewalk curb']","A quiet residential alleyway bordered by grass, fences, and houses with an outdoor patio visible on the right.",4893,38.98082518434289,-77.02289042572676,DC_images/dc_4893.jpg,24.745361328125,3.4816894531250004,38.340576171875,27.048095703125004,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",The image is blank except for a message indicating that no imagery is available.,3750,38.97541345525832,-77.04596947536635,DC_images/dc_3750.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
0,0,"['text', 'blank background']","The image is a blank background with the message 'Sorry, we have no imagery here.' in the center.",5948,38.82768549308798,-76.9998082981244,DC_images/dc_5948.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
3,6,"['sidewalk', 'street', 'power lines', 'speed limit sign', 'brick apartment buildings', 'fence', 'bench', 'grass', 'trees']",A plain urban sidewalk leads to brick apartment buildings with a grassy yard and several overhead power lines.,5604,38.824081911683166,-77.0067178700344,DC_images/dc_5604.jpg,14.9404296875,15.06005859375,32.634033203125,26.433349609375,0.0
4,8,"['apartment building', 'windows', 'balconies', 'trees', 'sidewalk', 'entrance gate', 'sign', 'person', 'bench', 'pavement', 'lamp post']","A modern mid-rise apartment building with red brick facade, framed by trees and a gated entrance on a quiet, curved sidewalk.",5064,38.87813128187684,-77.01824761837874,DC_images/dc_5064.jpg,17.022705078125,36.642578125,1.6630859375,26.692626953125,0.0
4,7,"['road', 'crosswalk', 'sidewalk', 'fence', 'streetlights', 'cars', 'people', 'buildings', 'trees', 'clouds', 'school crossing marking']","A suburban street with a crosswalk and school marking, lined with buildings, fences, and trees under a partly cloudy sky.",4531,38.94479061972827,-77.029800117099,DC_images/dc_4531.jpg,12.272705078125,2.5693359375,42.49267578125,36.95068359375,0.0
0,0,"['text: Sorry, we have no imagery here.', 'plain white background']",The image contains a plain white background with text indicating the absence of imagery.,5159,38.84389962705395,-77.01593504196089,DC_images/dc_5159.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
5,8,"['cars', 'bicycle', 'building', 'tree', 'people', 'street signs', 'sidewalk', 'trash bin']","A city street corner with parked cars, a bicycle, trees, and a low commercial building on a sunny day.",5117,38.97361941635291,-77.01827206988652,DC_images/dc_5117.jpg,25.23828125,19.3935546875,12.700439453125,18.733642578125,0.0
7,6,"['trees', 'sidewalk', 'residential house', 'speed limit sign', 'street', 'grass', 'lamp post']",A quiet residential street lined with lush greenery and a visible speed limit sign.,1221,38.93754778984716,-77.09669583881194,DC_images/dc_1221.jpg,48.185791015625,1.662353515625,9.54833984375,37.90087890625,0.0
5,4,"['trees', 'house', 'cars', 'driveway', 'road', 'power lines', 'utility pole', 'shrubs', 'grass']",A quiet suburban street bordered by dense greenery and a partially visible house with cars parked in the driveway.,3989,38.99523324027359,-77.04136482281783,DC_images/dc_3989.jpg,55.730712890625,1.206787109375,6.178955078125,32.114013671875,3.453125
0,0,"['text', 'blank background']","A blank image with the text 'Sorry, we have no imagery here' in the center.",3642,38.9862223866374,-77.04828487849858,DC_images/dc_3642.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
7,9,"['road', 'cars', 'sidewalk', 'buildings', 'church spires', 'trees', 'street lamps', 'traffic signs', 'fence', 'clouds', 'American flag']","A wide, well-maintained urban road flanked by historic buildings, church spires, and greenery under a vivid blue sky with scattered clouds.",4178,38.92497039100129,-77.03671117247995,DC_images/dc_4178.jpg,9.072021484375,9.08544921875,34.359375,39.294921875,0.0
5,8,"['cars', 'street', 'sidewalk', 'trees', 'apartment buildings', 'windows', 'doors', 'hydrant']","A quiet residential street with parked cars, trees, and multi-family homes under a clear blue sky.",8489,38.88712999998965,-76.94909323711327,DC_images/dc_8489.jpg,9.30419921875,13.272705078125,35.472412109375,28.053466796875,0.0
6,8,"['stop sign', 'cars', 'sidewalk', 'road', 'trees', 'bushes', 'apartment building', 'streetlight']","A leafy urban street with a stop sign, parked cars, and a mid-rise apartment building in the background.",2934,38.94297626714007,-77.06209776146191,DC_images/dc_2934.jpg,42.415771484375,10.26416015625,8.287109375,3.72412109375,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",The image displays a blank screen with a message indicating that no imagery is available.,4084,38.96100278611491,-77.0390373441284,DC_images/dc_4084.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
7,8,"['bike helmet', 'bike trail', 'trees', 'grass', 'shrubs', 'river', 'bridge', 'cloudy sky']",A bike trail runs alongside a river with a large bridge in the background and trees providing shade.,3130,38.88532529476139,-77.05743725599993,DC_images/dc_3130.jpg,48.16064453125,0.0,27.371337890625004,6.828369140625,0.0
6,7,"['trees', 'car', 'road', 'traffic light', 'sidewalk', 'sign', 'grass', 'buildings']","A leafy street intersection with a traffic light, surrounded by large trees and a few vehicles.",5564,38.95740565016574,-77.00903793127443,DC_images/dc_5564.jpg,47.4287109375,0.663330078125,4.417724609375,38.343017578125,0.0
0,0,"['text: Sorry, we have no imagery here.']",A blank image with a message indicating no available imagery.,4374,38.86731822117247,-77.0320723505757,DC_images/dc_4374.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
3,5,"['garage', 'trash bins', 'fence', 'carport', 'house', 'pavement', 'vegetation', 'trees']","A small garage and carport are situated behind a residential house, with trash bins and overgrown vegetation visible.",1891,38.912335142593626,-77.08282542572009,DC_images/dc_1891.jpg,12.54931640625,25.894531250000004,32.926025390625,0.355224609375,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",This image is a blank placeholder with a message indicating no available imagery.,4237,38.82587874202753,-77.0343569842387,DC_images/dc_4237.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
2,6,"['road', 'concrete wall', 'traffic cones', 'trees', 'car', 'sidewalk', 'barriers', 'clouds', 'street lamps']",A street under construction runs alongside a tall concrete wall with scattered traffic cones and minimal greenery.,5230,38.9718181074427,-77.01596364578958,DC_images/dc_5230.jpg,7.753173828125,0.36474609375,23.287109375,36.553466796875,0.0
3,9,"['glass doors', 'welcome mat', 'pillar', 'chandelier', 'plants', 'signage with building number', 'brick walls', 'glass blocks', 'security panel']","Entrance to an apartment building with clear signage, glass doors, and a well-maintained lobby area.",2375,38.96278775617055,-77.07365337498237,DC_images/dc_2375.jpg,0.952880859375,32.70947265625,0.0,0.0,0.0
5,6,"['street', 'sidewalk', 'curb', 'trees', 'bushes', 'houses', 'sky']","A suburban scene with houses in the background partially hidden by trees and bushes, viewed from across a street and sidewalk.",8281,38.92316531364704,-76.95368028849276,DC_images/dc_8281.jpg,29.87109375,3.073486328125,27.233154296875,33.8349609375,0.0
0,0,"[""text stating 'Sorry, we have no imagery here.'""]",The image is blank except for a message indicating no available imagery.,4258,38.863714200715386,-77.03437519753756,DC_images/dc_4258.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
6,7,"['road', 'sidewalk', 'trees', 'power lines', 'grass', 'cars', 'curb', 'fence', 'sky', 'clouds']","A tree-lined suburban street with sidewalks, cars, and open green space under a partly cloudy sky.",9172,38.88532147723348,-76.93526353927044,DC_images/dc_9172.jpg,31.720458984375,0.0,20.922607421875,40.638427734375,0.0
6,8,"['cars', 'trees', 'street', 'sidewalk', 'houses', 'clouds']","A quiet, leafy residential street lined with parked cars and brick houses under a partly cloudy sky.",5979,38.88353774060524,-76.99980814806507,DC_images/dc_5979.jpg,39.03759765625,2.472900390625,13.304199218750002,28.906005859375,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",The image is blank with a message stating there is no available imagery.,4224,38.80245667807483,-77.03434571900824,DC_images/dc_4224.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
0,0,"['text: Sorry, we have no imagery here.']",This image displays a plain background with a message stating that no imagery is available.,3785,38.833082437561984,-77.04357436225304,DC_images/dc_3785.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
0,0,"['text: Sorry, we have no imagery here.']",The image is blank with a message indicating that there is no available imagery.,4452,38.80245794290668,-77.0297407389349,DC_images/dc_4452.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",This image displays a blank background with a message indicating there is no available imagery.,4817,38.84389847895238,-77.02284652201992,DC_images/dc_4817.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
6,5,"['house', 'fence', 'car', 'trees', 'shrubs', 'sidewalk', 'power lines', 'lawn']","A residential street view featuring a two-story house with a porch, a red and silver car parked out front, and abundant greenery.",6691,38.93398362442937,-76.9859675873074,DC_images/dc_6691.jpg,44.780517578125,4.916748046875,14.41357421875,1.81005859375,0.0
4,6,"['sidewalk', 'street', 'grass', 'trees', 'fence', 'brick building', 'windows', 'iron gate']","A street view with a sidewalk, grassy lot, trees, and a brick apartment building.",5836,38.83128886030297,-77.00211170832513,DC_images/dc_5836.jpg,38.579833984375,9.23974609375,19.575927734375,20.47607421875,0.0
5,6,"['trees', 'sidewalk', 'road', 'house', 'fence', 'grass', 'brick wall']","A residential street scene with trees, a sidewalk, and houses lining a quiet alley.",7150,38.93938713073604,-76.9767388742825,DC_images/dc_7150.jpg,45.829833984375,5.604736328125,12.519531249999998,26.278564453125,0.0
7,2,"['water', 'trees', 'sky', 'clouds', 'boat edge']","A peaceful lake scene with calm water, surrounding trees, and partly cloudy sky viewed from a boat.",529,38.92312223745692,-77.11051460402625,DC_images/dc_529.jpg,8.745361328125,0.0,42.05908203125,0.0,44.294921875
7,6,"['car', 'road', 'trees', 'house', 'fence', 'grass', 'sidewalk', 'mailbox', 'street sign']","A quiet, tree-lined suburban street with parked cars and houses on either side.",2723,38.97360179959909,-77.06674049029439,DC_images/dc_2723.jpg,47.92236328125,3.680908203125,7.87939453125,37.2294921875,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'"", 'plain white or light gray background']",This image consists of a blank background with a message stating that no imagery is available.,2460,38.91054107948207,-77.07129344163077,DC_images/dc_2460.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
3,8,"['road', 'sidewalk', 'brick buildings', 'windows', 'lamp post', 'shrubs', 'person', 'grass']",A quiet urban street lined with large brick buildings and a sidewalk on both sides.,2345,38.908737981709386,-77.07359756110289,DC_images/dc_2345.jpg,2.170654296875,45.224853515625,7.737548828125,36.66455078125,0.0
0,0,"['text: Sorry, we have no imagery here.']",A blank image with a message indicating no imagery is available.,4261,38.86911924698948,-77.03437780101387,DC_images/dc_4261.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
7,6,"['paved path', 'grass', 'trees', 'sky', 'clouds', 'light poles']","A winding paved pathway cuts through a grassy, tree-dotted field under a partly cloudy sky.",8614,38.906947368182166,-76.94677322989845,DC_images/dc_8614.jpg,46.6259765625,0.0,37.584228515625,15.789794921875,0.0
5,8,"['truck', 'large screen', 'flags', 'people', 'brick pavement', 'grass', 'tents', 'historical buildings']","A semi-urban park scene featuring a truck with a large screen, people walking, tents, and historic buildings in the background under a clear blue sky.",5644,38.89614927177493,-77.0067246564944,DC_images/dc_5644.jpg,5.0830078125,9.755126953125,36.921142578125,38.73681640625,0.0
5,5,"['house', 'sidewalk', 'fence', 'shrubs', 'grass', 'trees', 'blue sky', 'shadow']",A residential sidewalk runs alongside a house and iron fence under clear blue skies.,6697,38.94479357562622,-76.98596545950379,DC_images/dc_6697.jpg,16.572998046875,11.367431640625,27.881591796875,0.0,0.0
6,8,"['road', 'bike lane', 'trees', 'sidewalk', 'fence', 'building', 'parked cars', 'power lines', 'street markings', 'grass']","A quiet suburban street with a bike lane, large trees providing shade, and residential buildings in the background.",8601,38.88352562041881,-76.94679070212707,DC_images/dc_8601.jpg,45.7958984375,1.93603515625,8.127685546875,38.620361328125,0.0
5,6,"['street', 'sidewalk', 'utility pole', 'power lines', 'street light', 'fence', 'grass', 'trees', 'fire hydrant', 'cars', 'curb']","A quiet, tree-lined urban street with a sidewalk, utility poles, and a grassy fenced area on a sunny day.",9975,38.89431979031441,-76.91911718384851,DC_images/dc_9975.jpg,21.45849609375,0.0615234375,32.041259765625,34.55712890625,0.0
6,3,"['trees', 'grass', 'sidewalk', 'street', 'shadows', 'fence']","A green, shaded park area with several trees and an adjacent sidewalk or street.",8144,38.88172778003389,-76.95601223666002,DC_images/dc_8144.jpg,86.701416015625,0.0,1.98876953125,11.309814453125,0.0
3,6,"['tree', 'car', 'fence', 'alley', 'buildings', 'driveways', 'power lines', 'shrubs', 'grass']","A quiet urban alleyway with parked car, trees, and back entrances to residential buildings.",7100,38.84930346751139,-76.97676822828599,DC_images/dc_7100.jpg,33.4853515625,4.638427734375,19.698974609375,20.346435546875,0.0
3,8,"['tables', 'chairs', 'person', 'building', 'signage', 'glass doors', 'potted plant']",A sidewalk café area next to a sweets and eats shop with outdoor seating and modern building surroundings.,4409,38.93037673634114,-77.032100714019,DC_images/dc_4409.jpg,0.0,66.07666015625,6.845703124999999,0.845947265625,0.0
1,2,"['insulation material', 'exposed pipes and ducts', 'stacked cardboard sheets', 'glass window frames', 'concrete floor', 'metal frames', 'open doorway', 'wall mounted box/panel']","An unfinished building interior with exposed insulation, ductwork, and construction materials.",6114,38.92137280224457,-76.99750171670252,DC_images/dc_6114.jpg,0.0,0.0,0.0,0.0,0.0
5,8,"['houses', 'cars', 'trees', 'power lines', 'sidewalk', 'street', 'fence', 'mailbox', 'grass']","A sunny residential street corner with houses, parked cars, and abundant greenery.",9173,38.88712315286677,-76.93526190454178,DC_images/dc_9173.jpg,9.548828125,9.423583984375,38.869384765625,34.073486328125,0.0
3,8,"['meeting table', 'office chairs', 'artwork on wall', 'light fixtures', 'glass wall', 'doors', 'plant']","A modern, well-lit office meeting room with a large table and several chairs behind a glass wall.",3826,38.90695134997714,-77.04361948882587,DC_images/dc_3826.jpg,0.762939453125,0.0,0.0,0.0,0.0
5,7,"['road', 'bike lane', 'sidewalk', 'trees', 'grass', 'traffic lights', 'street signs']",A green-lined road with a bike lane curves past a grassy area with trees and sidewalks under a clear blue sky.,5679,38.95920745770619,-77.0067306059046,DC_images/dc_5679.jpg,37.0224609375,0.030517578125,25.7646484375,36.5302734375,0.0
4,8,"['building', 'driveway', 'sidewalk', 'trees', 'windows', 'handrails', 'fire hydrant', 'street', 'power lines']",A modern building with a driveway and surrounding trees along a city street.,1437,38.91593157226162,-77.09205422111161,DC_images/dc_1437.jpg,15.832763671875,12.676025390625,26.998046875,34.866455078125,0.0
