scenicness,connectivity,objects,description,id,latitude,longitude,image_path,greenery_pct,building_pct,sky_pct,road_pct,water_pct,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50
7,4,"['car', 'tree', 'sidewalk', 'house', 'bushes', 'grass', 'road']",A tree-lined residential street with a parked car and abundant greenery.,2594,38.94657569794996,-77.06902233352857,DC_images/dc_2594.jpg,58.013427734375,2.361328125,0.708740234375,27.727294921875,0.0,2.171999,-2.4344778,1.0566921,1.7132748,-0.80794567,-0.10235364,0.047862638,-0.52859765,0.83097005,-0.6051432,0.21973127,-0.24119206,1.449314,-0.15726343,0.018119985,0.08644192,0.1464765,-0.14041021,-0.24435443,0.34482718,0.43734765,-0.29647937,0.12902127,-0.49015164,-0.37426922,-0.24922246,0.52996576,-0.07670967,-0.048113875,-0.72336686,-0.011133651,-0.11532865,-0.326848,-0.10844187,-0.010515674,-0.78477204,-0.3222952,0.09740753,-0.052703224,-0.0014508237,-0.3141895,-0.17294839,-0.29730976,-0.18460777,0.045993194,0.2735164,-0.13751021,0.4001564,-0.13334732,-0.17381056
4,6,"['sidewalk', 'grass', 'small trees', 'multi-story brick buildings', 'multi-story blue building', 'fence', 'clouds', 'power lines', 'driveway']","A suburban street view showing apartment buildings, a grass lawn with small trees, and a sidewalk under a partly cloudy sky.",9069,38.90514113286995,-76.93755135688178,DC_images/dc_9069.jpg,18.859375,22.22265625,29.863037109375,19.96875,0.0,2.892082,-0.44485602,1.6473137,0.09022692,0.7067514,0.7601649,-0.26457343,1.1878753,-1.2623422,0.70386994,0.23966469,0.09929455,1.3189824,0.13536288,0.28870806,-0.018831061,0.24596077,0.046394415,0.41373172,0.39586335,-0.54103243,-0.05495389,-0.05265873,0.16429819,-0.19709791,0.29616776,-0.5801941,0.19613165,0.10405623,0.30593136,0.0709601,-0.19705604,0.14022022,-0.10578698,0.3215623,-0.07222244,0.33861333,-0.4524905,0.06478565,0.34450912,-0.07927324,-0.23282646,0.060452435,-0.012582707,0.17762296,0.0021173367,0.15857978,0.009773861,0.019530594,-0.10750558
2,7,"['brick house', 'windows', 'door', 'railing', 'awnings', 'fence', 'satellite dish', 'trash bin', 'sidewalk', 'utility pole', 'air conditioning unit', 'tree', 'recycling bin']",A brick residential building with a fenced yard sits alongside an alleyway under a clear blue sky.,6022,38.96100930257611,-76.9998079395289,DC_images/dc_6022.jpg,1.989990234375,40.45166015625,21.05322265625,7.407958984375,0.0,2.9420397,-1.9219315,1.7610047,0.32158488,0.14692508,1.0576246,0.0825601,0.033690903,-2.0864506,0.2954736,-0.87036777,-0.68454874,-1.1465771,0.6551973,-0.23378628,0.116636865,-0.7842404,0.62725884,0.18386205,0.21880159,0.5680057,-0.24180426,-0.26705453,0.2608232,-0.3476776,-0.23300907,-0.16406338,-0.16406071,0.04668053,-0.11146817,-0.43486792,-0.21967943,0.021488335,0.09996234,-0.046818476,0.13323742,-0.15423699,-0.11891044,0.14313385,-0.30332163,0.33288935,0.07753282,0.10438863,0.22209048,-0.08719816,-0.15356703,0.42021587,0.25459352,-0.06514864,0.011430038
6,7,"['trees', 'cars', 'houses', 'sidewalk', 'street signs', 'road', 'fences', 'lawns']","A quiet, tree-lined residential street with parked cars and houses on both sides.",9744,38.88891787068224,-76.92373387043281,DC_images/dc_9744.jpg,43.191650390625,10.0693359375,4.18701171875,26.889160156250004,0.0,2.7328777,-0.39050364,1.5814644,-0.5755504,-0.6777388,-0.86816096,0.32813197,-0.18719502,-0.8129918,-0.4503951,0.100543536,0.39085263,0.32615077,-0.020988135,-0.2080539,0.080017865,-0.3694399,-0.19789748,0.12048633,-0.2284102,0.14896551,0.5763097,-0.4963701,0.15719463,0.27536076,-0.045926843,0.32777852,-0.44025016,0.26485068,-0.020233901,-0.2866966,0.31385827,-0.04895665,0.10722291,-0.19159928,-0.17070891,0.53301126,-0.017074283,-0.29567206,0.32149673,0.12817639,0.3426132,0.45081747,-0.07006231,-0.061746396,-0.12687369,0.11979211,0.18317154,-0.1963664,-0.25149092
3,9,"['people', 'stadium seats', 'large LED screen with stars and stripes', 'arena lights', 'hoodie', 'sports jersey']",A group of people sitting and standing in a brightly-lit arena with a large LED screen in the background.,4961,38.89794932903293,-77.02055826007982,DC_images/dc_4961.jpg,0.0,0.0,0.0,0.0,9.374755859375,-1.3799756,-2.4213438,-3.1295755,-1.2341772,1.040664,-0.7208003,-0.42292562,1.9680916,-0.641595,-0.30234486,1.0344977,-0.5785942,0.42818043,-1.0497125,-0.054570615,-0.93277586,1.331415,1.1333197,-0.7009196,1.1535624,1.4601706,-0.005908158,1.5079597,1.9814562,0.042877913,-0.33356017,0.08686374,-1.7895378,-0.6562097,-1.148624,-1.3472922,1.4857825,-1.2619445,-0.8985939,0.8508559,-0.1572177,0.22283065,0.7033209,0.022736954,0.66223,0.2159182,-0.48837635,0.6255255,-2.7170856,-0.2848472,-0.62147397,0.07099508,-0.37740386,-0.354856,0.80812764
4,7,"['paintings', 'sofa', 'chairs', 'tables', 'sculptures', 'computer monitor', 'desk', 'overhead lights', 'cabinet', 'magazines or brochures', 'glass doors']","A cozy, well-lit interior space with artwork on the walls, modern furniture, and several computer workstations.",4324,38.98262399947019,-77.03443256525865,DC_images/dc_4324.jpg,0.0,0.0,0.0,0.0,0.300537109375,-0.20201197,-2.9905753,-1.9889462,-0.74738014,1.2709984,-0.67695546,-0.58311176,0.73613775,0.005496491,-0.33571336,-1.065154,-0.68624216,0.610757,1.0520302,-0.24536212,-0.10697542,0.25295874,-0.617067,0.50357395,1.1063211,-0.602303,-0.47514078,-0.56794715,-0.8665063,-0.45366582,-0.8474749,1.2782633,-0.611987,-0.7019337,0.45941052,0.36764425,0.011830505,0.34164572,-0.619977,-0.6430321,0.37848955,-0.5623823,0.020542212,-0.4662634,-0.7732144,0.54985255,-0.42442608,-0.5990261,0.11392565,-0.17048255,0.55531543,0.11369013,0.75030416,0.20010504,0.53393793
4,1,"['tree', 'chain-link fence', 'bushes', 'vines', 'sky']",A dense patch of greenery and overgrown vegetation behind a chain-link fence on a sunny day.,4420,38.95019497574033,-77.03210963860789,DC_images/dc_4420.jpg,84.955322265625,0.0,5.091552734375,0.0,0.0,1.1716379,-2.3875542,-0.81130916,2.3921869,-1.627603,-0.23177446,0.8223969,-0.97208893,0.28307095,0.16559613,-0.89422584,0.072465956,-0.57249373,0.20727786,-0.31347847,-1.1979258,-0.24081607,-0.05057325,-0.7233959,-0.4702653,-0.9310212,-0.51454884,-0.63331145,0.09103616,-0.060481552,0.3605977,-0.6117428,-0.6004887,0.30199602,-0.29075405,-0.27349597,0.78751236,0.31744128,-0.15985592,0.23248772,-0.34833604,0.45922285,0.65914845,-0.12792824,0.057003774,-0.1453389,-0.020151379,0.50422096,0.25815225,0.03467068,0.3281006,0.09265295,-0.020389358,0.515159,-0.411523
5,8,"['traffic lights', 'street signs', 'crosswalk', 'car', 'person', 'brick building', 'sidewalk', 'trees', 'leaves', 'road', 'curb', 'mailbox', 'playground equipment']","A suburban street corner with a crosswalk, traffic lights, and a large brick building surrounded by autumn trees.",3151,38.92316036327309,-77.05746772997624,DC_images/dc_3151.jpg,22.865478515625,14.96044921875,23.949951171875,24.8623046875,0.0,2.4893434,-2.4093719,0.23127414,-2.2774162,-1.4772911,-1.3637475,-0.9181091,0.24596988,0.013488629,1.6157238,0.49879694,-0.26220825,0.88010967,1.4545783,0.2393968,-0.6657128,0.12708278,-0.66867423,-0.44059244,-0.121797785,0.23870054,0.19881047,0.6642157,-0.37042496,0.1378794,0.4431508,0.085265614,0.48100054,0.019161223,0.1772635,-0.54286516,-0.2637365,0.491832,-0.5094928,0.4956607,0.17251974,0.12759127,0.28215453,0.0067052785,-0.09183666,0.24670893,-0.13963619,-0.6603338,-0.15595412,-0.004541956,0.52202594,-0.10336736,0.31011763,-0.27220416,-0.6382794
6,8,"['bridge', 'railing', 'street lamps', 'water/river', 'trees', 'white tents/structures', 'sky/clouds']","A view from a bridge over a river with street lamps, distant trees, and white tent-like structures under a cloudy sky.",7115,38.876328716060726,-76.97675942986687,DC_images/dc_7115.jpg,5.09033203125,0.003173828125,47.8984375,31.336669921875,3.706298828125,1.3854506,2.0724826,-1.9608651,-0.044240847,-0.06285991,1.3901205,0.24860927,0.83195084,-0.5398374,0.03274906,-0.835592,0.7009749,-0.2105616,-0.571934,0.5316969,-0.36441347,0.34589902,-0.293808,-0.15661527,-1.3538965,-0.32635847,-0.42774448,-0.103630625,-0.41537383,-0.2854082,0.29681247,0.16889404,0.039944347,-0.10291166,-0.25009206,-0.38768432,-0.16042341,-0.3870987,0.328613,0.120277286,0.22534789,-0.2103905,-0.15038301,0.016252445,0.267705,0.021103142,0.24014926,-0.30600408,-0.27755928,-0.021834679,0.37571755,-0.2581404,-0.005010133,0.053975027,-0.48468748
2,3,"['asphalt road', 'empty parking lot', 'light poles', 'puddle', 'trees', 'clear sky']","A vast, empty parking lot under a clear blue sky with distant trees and a few light poles.",7465,38.890740549952575,-76.96983871688523,DC_images/dc_7465.jpg,2.88330078125,0.0,47.717041015625,48.38427734375,0.969482421875,0.46221548,-0.234727,-2.5480726,0.09972087,-1.564875,1.5849268,0.28162086,0.11462513,-1.0811977,0.11733107,0.026961833,-0.76202893,1.0993134,-0.31479865,0.48118708,0.39202332,0.7274079,-0.22958872,-0.5945502,-0.8732563,-1.1911311,-0.18484865,-0.56671405,-0.4423977,0.35126844,-0.18760481,0.21739112,-1.0185654,0.045216702,-0.041044846,0.00442368,-0.9258135,0.27889252,0.05537081,0.81950796,0.005480364,0.23423222,0.15797856,0.15209499,-0.17497492,0.14874066,-0.2966508,0.07181897,0.07640056,1.0679445,-0.85162914,-0.26656747,0.02644657,-0.05225903,-0.22012822
6,8,"['traffic lights', 'street sign', 'trees', 'cars', 'sidewalk', 'crosswalk', 'residential buildings', 'fence', 'for sale sign', 'streetlamp']","A leafy neighborhood intersection with traffic lights, parked cars, and well-kept residential homes.",4286,38.91416110191008,-77.03439951199574,DC_images/dc_4286.jpg,38.780029296875,10.28271484375,4.941162109375,33.072998046875,0.0,2.0482576,0.45616063,0.07937018,-0.6697512,-0.5790207,-1.0382309,0.71055925,-0.52396554,0.5228234,-0.6002192,0.0019754898,-0.4683035,-0.10065466,0.09495863,0.41753733,0.22850208,-0.09409443,-0.38508543,0.061566047,0.29865792,-0.40252113,0.63849366,-0.55083597,-0.5887704,-0.53668696,0.10819431,-0.05917194,-0.32724035,-0.28896946,0.2540622,0.0878645,-0.12955993,-0.3690089,-0.045315344,-0.2102163,0.06614851,0.24056238,0.00025566874,-0.26291475,0.12438345,0.29826075,0.07502073,0.14508478,0.02770119,-0.21134493,0.17060521,0.1538171,0.03981258,-0.28045923,-0.12138187
6,7,"['cars', 'trees', 'sidewalk', 'street signs', 'power pole', 'shrubs', 'buildings']","A leafy suburban street with several cars, lush greenery, and a clear sidewalk.",1909,38.94476504942064,-77.08286310337756,DC_images/dc_1909.jpg,51.5908203125,0.570556640625,6.779052734375,37.44921875,0.0,2.0446513,1.8008991,-0.051639274,-0.20972563,-0.5773128,-0.9750686,-0.58538765,0.34350747,0.2347609,-0.2292881,0.31623045,0.25661308,0.07729132,0.11354709,-0.3592615,-0.23714796,-0.16902436,0.24696915,0.36165747,-0.3196114,0.1920731,0.15999985,-0.23485467,-0.23247491,0.13347034,-0.37266886,-0.029085409,0.38144967,0.067111425,0.068307936,-0.3526583,-0.23747982,-0.18503149,-0.1707748,0.06342487,0.27571386,-0.048297502,0.06757578,0.01611215,0.08967133,0.3722517,0.06929375,0.040795732,-0.16338097,0.18467705,-0.11490451,-0.05936847,-0.0029596684,0.06174306,0.10793216
3,5,"['car', 'chain link fence', 'overgrown grass', 'red wooden gate', 'two trash bins', 'brick houses', 'tree', 'pavement', 'wooden fence', 'cloudy sky', 'power lines']",A car is parked next to a chain link fence and overgrown grass behind brick row houses on a partly cloudy day.,5652,38.91056263655154,-77.00672601543211,DC_images/dc_5652.jpg,29.8701171875,9.1943359375,34.072021484375,2.79833984375,0.0,2.3886552,-1.1658894,1.3232511,0.9498744,0.67195463,0.6283295,1.0649643,-0.3933637,-1.6795666,0.78228366,-0.6520584,0.52173465,0.47845444,0.19502434,0.053401727,-0.10083295,-0.46231285,0.0597712,0.19602674,-0.3077331,0.4697503,-0.47605792,0.06877679,0.15910266,0.23268591,-0.80195534,-0.011446552,0.027958954,-0.08611481,0.34859872,-0.15445358,-0.08523761,-0.19292426,0.3997894,-0.028661218,-0.39797893,-0.6239482,0.020178806,-0.12524398,0.18340729,-0.32933313,0.32522148,0.16901895,0.14602506,0.0068965144,0.27159867,-0.42645586,0.13541643,0.44998366,-0.0036922507
0,0,"[""text: 'Sorry, we have no imagery here.'""]",A blank image with a message indicating that no map imagery is available.,5777,38.93038106110792,-77.00442126392622,DC_images/dc_5777.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0,-5.2868905,0.16616456,0.34411722,-0.031950228,-0.0791509,0.0016656574,-0.026635977,-0.016802637,-0.01751517,0.015677702,-0.006699542,0.009895931,0.003297624,-0.0033643905,0.023908917,0.0020107764,-0.0066258097,0.0060269902,0.007975846,0.002661015,0.0032144156,0.0055827363,0.007093763,-0.0029862358,-0.016691452,0.004781222,-0.005280013,-0.0038502621,-0.0046164514,-0.0026824812,0.006150515,-0.010178917,0.002894264,0.0047737267,-0.0016867751,-0.001159328,-0.0014764519,0.003081451,0.0092353625,-0.0023242729,-0.0009549029,0.0039179823,-0.0054540383,0.00089484995,-0.0049998676,0.0030748397,8.073218e-05,0.0019649367,-0.0012610266,0.00016218747
6,7,"['tree', 'grass', 'sidewalk', 'black SUV', 'white car', 'parking lot']",A parked black SUV is in front of a green park area with trees and a sidewalk on a sunny day.,5643,38.89434759856011,-77.0067244866658,DC_images/dc_5643.jpg,53.0859375,0.0,9.28173828125,7.204589843750001,0.0,1.3218728,-0.4180359,-0.42581382,1.8738971,1.1910908,0.047330424,-0.27148625,-1.8352913,0.5914747,-0.45821825,1.1166866,-0.36452267,0.19784424,-1.1101959,0.27720532,1.178982,0.519544,0.054268137,-0.4651344,0.08836809,0.3164417,-0.25494307,-0.02241137,0.17964883,0.2284161,-0.20842358,0.22845894,0.011836908,0.23251885,0.65404695,0.16247775,-0.027460502,0.09251204,0.14183302,-0.3052028,-0.5321694,0.5799871,-0.0797722,-0.3851423,0.5605499,-0.40128103,0.18825965,0.12533025,-0.033059843,0.10321452,0.4618675,0.38332677,0.1939499,0.21800809,-0.18509018
4,6,"['cars', 'houses', 'trees', 'power lines', 'sidewalk', 'street', 'bushes', 'flowers']","A quiet suburban street lined with parked cars, houses, and greenery under a cloudy sky.",6246,38.95380259486885,-76.99519320121244,DC_images/dc_6246.jpg,18.284912109375,6.66796875,29.389404296875,32.38623046875,0.0,1.9112657,1.0525286,1.2262415,-0.13889061,-0.45785752,0.2044224,0.761225,1.1496209,0.15535218,-0.48158386,-0.1360722,-0.40768152,-0.11923143,-0.2308512,-0.38961217,-0.51683325,0.42293048,-0.002485889,0.027686225,0.7199047,-0.1468928,-0.60558414,-0.49608442,-0.26453853,0.24594983,0.32985517,0.025246175,-0.19674568,0.28425467,-0.17022167,0.0038519413,0.15356736,0.026986293,-0.22112477,-0.030985408,0.17627612,0.021035943,-0.2704818,-0.23311105,0.011884639,0.10144445,0.45395854,0.35549617,0.30210516,-0.22996284,0.12523182,-0.029775275,-0.12415885,-0.08314749,-0.14769728
7,6,"['trees', 'cars', 'sidewalks', 'power lines', 'street', 'houses', 'shrubs', 'grass']",A leafy residential street lined with parked cars and shaded by tall trees on both sides.,2241,38.92675315893392,-77.07592265917306,DC_images/dc_2241.jpg,47.23779296875,0.7470703125,11.400634765625,32.5302734375,0.0,2.401576,0.21084498,1.2663693,0.118767805,-0.43063518,-0.6493577,0.57704794,-0.40940583,-0.26849127,-0.50666153,0.5807668,0.640939,-0.67441225,0.45313206,-0.2822501,-0.52057266,0.24541333,0.25686893,0.8229273,0.27326307,0.3381433,0.31321886,-0.036190476,0.15808202,0.732832,-0.17994787,0.2750016,0.16530001,0.26310065,0.0796863,0.15199831,0.09546002,0.09017905,-0.16111581,-0.042850956,-0.2136699,0.59513265,0.5105698,-0.28331897,0.32870245,-0.31646946,-0.2200407,-0.023341993,0.27413142,-0.2075625,-0.2057795,-0.09368926,0.043331675,0.07386354,0.026050648
5,7,"['houses', 'cars', 'sidewalk', 'road', 'trees', 'power lines', 'telephone pole', 'trash bin', 'satellite dish', 'steps', 'brick walls']",A quiet residential street with parked cars and rows of brick houses on a sunny day.,6911,38.91956967698724,-76.98135788090318,DC_images/dc_6911.jpg,14.8779296875,11.41748046875,29.739013671875,37.225341796875,0.0,2.449288,0.24255602,1.1575403,-0.4852481,0.15683407,-0.3714313,0.6957518,0.42801893,-0.58869404,0.45582208,0.80235064,-0.20560417,0.0064181467,0.87069523,-0.048273303,-0.08897664,-0.36394325,-0.33447286,-0.37069198,0.08496799,0.0136847915,0.5478169,-0.10308018,0.7671129,0.30649054,0.03465308,0.21090986,0.23224679,-0.13585518,-0.14789563,0.334495,0.47628123,0.2832634,0.2943829,0.29815593,-0.19795682,-0.14853705,-0.25983804,0.39375967,0.29095078,-0.09230683,-0.22725709,0.11414555,0.11512434,-0.07818176,-0.419326,0.10314434,0.017056363,0.2521506,0.20062146
